lookback_window,strategy_code,strategy_name,confidence_bucket,total_signals,entered_signals,coverage,wins,losses,cancels,win_rate_total,loss_rate_total,cancel_rate_total,win_rate_entered,loss_rate_entered,hit@1,hit@2,hit@3,hit@4,net_wl,paid_waiting_rate_total,paid_waiting_rate_wait_applied,would_win_without_wait_rate_wait_applied,wait_avoided_bad_rate_paid_waiting,wait_hurt_win_rate_wait_applied
3,A,Sem Filtro,60-69,626,626,100.0,530,95,0,84.6645,15.1757,0.0,84.6645,15.1757,38.9776,61.9808,75.7188,84.6645,435,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,70+,858,858,100.0,743,115,0,86.5967,13.4033,0.0,86.5967,13.4033,37.9953,59.7902,77.2727,86.5967,628,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,<= 59,110,110,100.0,94,16,0,85.4545,14.5455,0.0,85.4545,14.5455,35.4545,59.0909,75.4545,85.4545,78,0.0,0.0,0.0,0.0,0.0
3,B,Cancelar overlap>=1,60-69,626,103,16.4537,84,18,523,13.4185,2.8754,83.5463,81.5534,17.4757,34.9515,55.3398,71.8447,81.5534,66,0.0,0.0,0.0,0.0,0.0
3,B,Cancelar overlap>=1,70+,858,150,17.4825,130,20,708,15.1515,2.331,82.5175,86.6667,13.3333,33.3333,59.3333,75.3333,86.6667,110,0.0,0.0,0.0,0.0,0.0
3,B,Cancelar overlap>=1,<= 59,110,21,19.0909,20,1,89,18.1818,0.9091,80.9091,95.2381,4.7619,33.3333,71.4286,85.7143,95.2381,19,0.0,0.0,0.0,0.0,0.0
3,C,Esperar 1 spin,60-69,626,418,66.7732,350,67,208,55.9105,10.7029,33.2268,83.7321,16.0287,38.0383,59.5694,74.6411,83.7321,283,33.2268,39.7706,85.2772,0.0,39.7706
3,C,Esperar 1 spin,70+,858,582,67.8322,510,72,276,59.4406,8.3916,32.1678,87.6289,12.3711,34.0206,62.3711,77.3196,87.6289,438,32.1678,38.9831,86.5819,0.0,38.9831
3,C,Esperar 1 spin,<= 59,110,78,70.9091,71,7,32,64.5455,6.3636,29.0909,91.0256,8.9744,32.0513,61.5385,76.9231,91.0256,64,29.0909,35.9551,83.1461,0.0,35.9551
3,D,Esperar 2 spins,60-69,626,295,47.1246,249,45,331,39.7764,7.1885,52.8754,84.4068,15.2542,35.5932,58.3051,73.5593,84.4068,204,52.8754,63.2887,85.2772,0.0,63.2887
3,D,Esperar 2 spins,70+,858,434,50.5828,385,49,424,44.8718,5.711,49.4172,88.7097,11.2903,40.553,64.0553,79.4931,88.7097,336,49.4172,59.887,86.5819,0.0,59.887
3,D,Esperar 2 spins,<= 59,110,60,54.5455,56,4,50,50.9091,3.6364,45.4545,93.3333,6.6667,36.6667,65.0,85.0,93.3333,52,45.4545,56.1798,83.1461,0.0,56.1798
3,E,Espera proporcional,60-69,626,354,56.5495,295,58,272,47.1246,9.2652,43.4505,83.3333,16.3842,37.5706,60.1695,75.1412,83.3333,237,43.4505,52.0076,85.2772,0.0,52.0076
3,E,Espera proporcional,70+,858,499,58.1585,436,63,359,50.8159,7.3427,41.8415,87.3747,12.6253,36.8737,62.9259,77.9559,87.3747,373,41.8415,50.7062,86.5819,0.0,50.7062
3,E,Espera proporcional,<= 59,110,67,60.9091,62,5,43,56.3636,4.5455,39.0909,92.5373,7.4627,31.3433,65.6716,83.5821,92.5373,57,39.0909,48.3146,83.1461,0.0,48.3146
3,F1,Cancelar overlap>=1,60-69,626,103,16.4537,84,18,523,13.4185,2.8754,83.5463,81.5534,17.4757,34.9515,55.3398,71.8447,81.5534,66,0.0,0.0,0.0,0.0,0.0
3,F1,Cancelar overlap>=1,70+,858,150,17.4825,130,20,708,15.1515,2.331,82.5175,86.6667,13.3333,33.3333,59.3333,75.3333,86.6667,110,0.0,0.0,0.0,0.0,0.0
3,F1,Cancelar overlap>=1,<= 59,110,21,19.0909,20,1,89,18.1818,0.9091,80.9091,95.2381,4.7619,33.3333,71.4286,85.7143,95.2381,19,0.0,0.0,0.0,0.0,0.0
3,F2,Cancelar overlap>=2,60-69,626,364,58.147,307,56,262,49.0415,8.9457,41.853,84.3407,15.3846,39.2857,61.8132,75.5495,84.3407,251,0.0,0.0,0.0,0.0,0.0
3,F2,Cancelar overlap>=2,70+,858,514,59.9068,442,72,344,51.5152,8.3916,40.0932,85.9922,14.0078,38.5214,59.9222,76.4591,85.9922,370,0.0,0.0,0.0,0.0,0.0
3,F2,Cancelar overlap>=2,<= 59,110,72,65.4545,64,8,38,58.1818,7.2727,34.5455,88.8889,11.1111,41.6667,65.2778,80.5556,88.8889,56,0.0,0.0,0.0,0.0,0.0
3,F3,Cancelar overlap>=3,60-69,626,586,93.6102,497,88,40,79.393,14.0575,6.3898,84.8123,15.0171,38.9078,61.2628,75.5973,84.8123,409,0.0,0.0,0.0,0.0,0.0
3,F3,Cancelar overlap>=3,70+,858,796,92.7739,693,103,62,80.7692,12.0047,7.2261,87.0603,12.9397,37.6884,59.4221,77.5126,87.0603,590,0.0,0.0,0.0,0.0,0.0
3,F3,Cancelar overlap>=3,<= 59,110,102,92.7273,89,13,8,80.9091,11.8182,7.2727,87.2549,12.7451,37.2549,60.7843,76.4706,87.2549,76,0.0,0.0,0.0,0.0,0.0
