signal_id,roulette_id,lookback_window,trigger,bets_len,overlap_unique,overlap_hits,overlap_ratio,overlap_group_unique,confidence_score,confidence_bucket,status_observed,baseline_outcome,baseline_hit_attempt
0051401d-082a-4f51-8f6d-e21ea5378f26,pragmatic-brazilian-roulette,1,14,14,1,1,0.071429,1,87,70+,cancelled,win,1
00bb20a3-11a8-469f-a3db-2fca83ced83c,pragmatic-russian-roulette,1,4,14,1,1,0.071429,1,61,60-69,cancelled,win,1
00e1fc43-1b22-4325-b284-d2df1c3c16f2,pragmatic-mega-roulette-brazilian,1,18,14,1,1,0.071429,1,68,60-69,win,win,4
00ee6a92-5137-4275-b444-00c10cf47862,pragmatic-turkish-mega-roulette,1,25,14,0,0,0.0,0,69,60-69,win,win,1
0127cf5f-6dc4-422d-8b9a-9a9aab76f288,pragmatic-immersive-roulette-deluxe,1,20,14,1,1,0.071429,1,78,70+,win,win,4
01769d83-8e88-4195-851b-f5db1bcec8e9,pragmatic-vip-roulette,1,21,14,0,0,0.0,0,82,70+,win,win,3
019f07bd-75e9-4a73-a0a7-4e3880c437d1,pragmatic-roulette-italia-tricolore,1,29,14,0,0,0.0,0,54,<= 59,lost,loss,
01c32dd0-8f45-437e-b067-371872114e4d,pragmatic-roulette-1,1,12,14,0,0,0.0,0,66,60-69,win,win,4
01c9890b-ad27-4744-8fe3-914d94c63e68,pragmatic-mega-roulette,1,36,14,1,1,0.071429,1,64,60-69,win,win,4
01e7fa9f-9f4c-4214-820a-46e00055bfff,pragmatic-roulette-italia-tricolore,1,1,14,0,0,0.0,0,62,60-69,win,win,2
02138de0-b2c2-4c5c-89ce-35db0e813fb7,pragmatic-german-roulette,1,1,14,1,1,0.071429,1,82,70+,win,loss,
02281200-c7db-4119-b780-5f7039449c0f,pragmatic-russian-roulette,1,22,14,0,0,0.0,0,60,60-69,win,win,1
024040d8-5165-42b8-9c81-a01975e5c71f,pragmatic-turkish-mega-roulette,1,18,14,0,0,0.0,0,85,70+,win,win,2
02428f09-768b-40de-9f7d-927eaaeb41f4,pragmatic-mega-roulette-brazilian,1,6,14,1,1,0.071429,1,63,60-69,cancelled,win,1
02b3cb0e-a964-456c-ab07-386fab3bc4cd,pragmatic-turkish-mega-roulette,1,1,14,1,1,0.071429,1,56,<= 59,cancelled,win,1
02f9dd13-5f0d-4b3f-8268-edd0195a82cc,pragmatic-roulette-italia-tricolore,1,2,14,1,1,0.071429,1,76,70+,cancelled,win,1
032e2e49-3890-455f-9697-5db7fb1743a2,pragmatic-roulette-italia-tricolore,1,30,14,1,1,0.071429,1,78,70+,cancelled,win,1
033db319-9d18-417c-bc37-bf8899a64103,pragmatic-roulete-3,1,19,14,0,0,0.0,0,76,70+,win,win,3
038725ce-4e59-43c6-9e46-db706d85d124,pragmatic-speed-roulette-1,1,19,14,0,0,0.0,0,78,70+,win,win,1
03ce365b-8c1c-4b59-8749-b9e3316f1110,pragmatic-roulette-italian,1,35,14,0,0,0.0,0,69,60-69,win,win,2
03d04117-962c-4940-8f32-2012bd3e6d0e,pragmatic-vip-auto-roulette,1,18,14,1,1,0.071429,1,78,70+,win,win,2
03ecc815-38a5-4220-94fd-84b4f7fed8b9,pragmatic-roulette-1,1,11,14,1,1,0.071429,1,60,60-69,win,win,2
03f4d3b2-99de-409b-91bb-fcc87b906668,pragmatic-roulete-3,1,13,14,0,0,0.0,0,69,60-69,win,win,1
03f7af4e-f02d-43a7-bc6b-99bc75d9d841,pragmatic-korean-roulette,1,23,14,1,1,0.071429,1,78,70+,win,win,2
03fd6939-17fc-4a16-a5fa-603b71013d7d,pragmatic-roulette-italian,1,28,14,1,1,0.071429,1,52,<= 59,win,win,2
042f58fd-74b7-4733-8b71-079d1e7698b8,pragmatic-mega-roulette-brazilian,1,31,14,1,1,0.071429,1,68,60-69,cancelled,win,1
0464c644-cdc9-42d3-9788-4874fb7e9039,pragmatic-german-roulette,1,12,14,1,1,0.071429,1,76,70+,cancelled,win,1
047ffa4f-d26d-458f-9fa4-e98191c49ce4,pragmatic-vip-roulette,1,11,14,1,1,0.071429,1,67,60-69,win,loss,
04825601-87e4-4607-b830-e4487966cba4,pragmatic-turkish-mega-roulette,1,2,14,0,0,0.0,0,68,60-69,win,win,2
0483384c-1178-4645-a41b-3b45dacf07eb,pragmatic-roulete-3,1,19,14,1,1,0.071429,1,62,60-69,cancelled,win,1
048fd882-155c-470f-931a-c977d06dd1bf,pragmatic-russian-roulette,1,9,14,1,1,0.071429,1,84,70+,win,win,3
04918769-99c4-4272-8c14-74daf3e48bc6,pragmatic-speed-roulette-1,1,4,14,1,1,0.071429,1,78,70+,lost,loss,
04f2c8ac-4132-4b4c-9805-53bf7cbd2b2b,pragmatic-roulette-macao,1,1,14,1,1,0.071429,1,85,70+,lost,loss,
054d1e0d-a9c9-4bb5-b5e9-a8d1947c5cb3,pragmatic-vip-auto-roulette,1,4,14,0,0,0.0,0,61,60-69,win,win,4
0562af74-f3e1-4bf7-b0f9-b1dfeb34a6cc,pragmatic-speed-roulette-2,1,13,14,0,0,0.0,0,76,70+,win,win,4
0585471e-62b5-42a7-abb0-cfcc9bb2db98,pragmatic-auto-mega-roulette,1,19,14,0,0,0.0,0,88,70+,win,win,1
05953e0c-a8f5-403e-9b1e-af070507f659,pragmatic-vip-roulette,1,11,14,1,1,0.071429,1,80,70+,win,win,2
05b3e0f9-7c65-47fa-963e-8232b0f51219,pragmatic-auto-mega-roulette,1,6,14,1,1,0.071429,1,68,60-69,win,win,2
