lookback_window,strategy_code,strategy_name,strategy_desc,total_signals,entered_signals,coverage,wins,losses,cancels,win_rate_total,loss_rate_total,cancel_rate_total,win_rate_entered,loss_rate_entered,hit@1,hit@2,hit@3,hit@4,net_wl,paid_waiting_rate_total,paid_waiting_rate_wait_applied,would_win_without_wait_rate_wait_applied,wait_avoided_bad_rate_paid_waiting,wait_hurt_win_rate_wait_applied
1,A,Sem Filtro,Entra sempre (sem filtro).,1594,1594,100.0,1367,226,0,85.7591,14.1782,0.0,85.7591,14.1782,38.2058,60.6023,76.537,85.7591,1141,0.0,0.0,0.0,0.0,0.0
1,B,Cancelar overlap>=1,Cancela se houver >=1 overlap antes do gatilho.,1594,853,53.5132,742,110,741,46.5496,6.9009,46.4868,86.9871,12.8957,40.5627,63.4232,78.898,86.9871,632,0.0,0.0,0.0,0.0,0.0
1,C,Esperar 1 spin,Espera 1 spin se houver >=1 overlap.,1594,1331,83.5006,1152,178,263,72.271,11.1669,16.4994,86.5515,13.3734,38.1668,61.9835,77.7611,86.5515,974,16.4994,35.4926,84.3455,0.0,35.4926
1,D,Esperar 2 spins,Espera 2 spins se houver >=1 overlap.,1594,1169,73.3375,1017,151,425,63.8018,9.473,26.6625,86.9974,12.917,40.0342,63.3875,78.7853,86.9974,866,26.6625,57.3549,84.3455,0.0,57.3549
1,E,Espera proporcional,"1 overlap->1, 2 overlaps->2, 3+ overlaps->3.",1594,1331,83.5006,1152,178,263,72.271,11.1669,16.4994,86.5515,13.3734,38.1668,61.9835,77.7611,86.5515,974,16.4994,35.4926,84.3455,0.0,35.4926
1,F1,Cancelar overlap>=1,Cancela quando overlap>=1.,1594,853,53.5132,742,110,741,46.5496,6.9009,46.4868,86.9871,12.8957,40.5627,63.4232,78.898,86.9871,632,0.0,0.0,0.0,0.0,0.0
1,F2,Cancelar overlap>=2,Cancela quando overlap>=2.,1594,1594,100.0,1367,226,0,85.7591,14.1782,0.0,85.7591,14.1782,38.2058,60.6023,76.537,85.7591,1141,0.0,0.0,0.0,0.0,0.0
1,F3,Cancelar overlap>=3,Cancela quando overlap>=3.,1594,1594,100.0,1367,226,0,85.7591,14.1782,0.0,85.7591,14.1782,38.2058,60.6023,76.537,85.7591,1141,0.0,0.0,0.0,0.0,0.0
2,A,Sem Filtro,Entra sempre (sem filtro).,1594,1594,100.0,1367,226,0,85.7591,14.1782,0.0,85.7591,14.1782,38.2058,60.6023,76.537,85.7591,1141,0.0,0.0,0.0,0.0,0.0
2,B,Cancelar overlap>=1,Cancela se houver >=1 overlap antes do gatilho.,1594,475,29.7992,404,70,1119,25.345,4.3915,70.2008,85.0526,14.7368,37.6842,61.4737,76.4211,85.0526,334,0.0,0.0,0.0,0.0,0.0
2,C,Esperar 1 spin,Espera 1 spin se houver >=1 overlap.,1594,1164,73.0238,1004,159,430,62.9862,9.9749,26.9762,86.2543,13.6598,36.3402,61.7698,76.9759,86.2543,845,26.9762,38.4272,86.059,0.0,38.4272
2,D,Esperar 2 spins,Espera 2 spins se houver >=1 overlap.,1594,920,57.7164,794,125,674,49.8118,7.8419,42.2836,86.3043,13.587,39.3478,63.1522,78.1522,86.3043,669,42.2836,60.2324,86.059,0.0,60.2324
2,E,Espera proporcional,"1 overlap->1, 2 overlaps->2, 3+ overlaps->3.",1594,1090,68.3814,937,152,504,58.7829,9.5358,31.6186,85.9633,13.945,36.3303,61.3761,77.156,85.9633,785,31.6186,45.0402,86.059,0.0,45.0402
2,F1,Cancelar overlap>=1,Cancela quando overlap>=1.,1594,475,29.7992,404,70,1119,25.345,4.3915,70.2008,85.0526,14.7368,37.6842,61.4737,76.4211,85.0526,334,0.0,0.0,0.0,0.0,0.0
2,F2,Cancelar overlap>=2,Cancela quando overlap>=2.,1594,1302,81.6813,1122,179,292,70.389,11.2296,18.3187,86.1751,13.7481,39.0937,60.8295,76.7281,86.1751,943,0.0,0.0,0.0,0.0,0.0
2,F3,Cancelar overlap>=3,Cancela quando overlap>=3.,1594,1594,100.0,1367,226,0,85.7591,14.1782,0.0,85.7591,14.1782,38.2058,60.6023,76.537,85.7591,1141,0.0,0.0,0.0,0.0,0.0
3,A,Sem Filtro,Entra sempre (sem filtro).,1594,1594,100.0,1367,226,0,85.7591,14.1782,0.0,85.7591,14.1782,38.2058,60.6023,76.537,85.7591,1141,0.0,0.0,0.0,0.0,0.0
3,B,Cancelar overlap>=1,Cancela se houver >=1 overlap antes do gatilho.,1594,274,17.1895,234,39,1320,14.6801,2.4467,82.8105,85.4015,14.2336,33.9416,58.7591,74.8175,85.4015,195,0.0,0.0,0.0,0.0,0.0
3,C,Esperar 1 spin,Espera 1 spin se houver >=1 overlap.,1594,1078,67.6286,931,146,516,58.4065,9.1593,32.3714,86.3636,13.5436,35.436,61.2245,76.2523,86.3636,785,32.3714,39.0909,85.8333,0.0,39.0909
3,D,Esperar 2 spins,Espera 2 spins se houver >=1 overlap.,1594,789,49.4981,690,98,805,43.2873,6.1481,50.5019,87.4525,12.4208,38.403,61.9772,77.6933,87.4525,592,50.5019,60.9848,85.8333,0.0,60.9848
3,E,Espera proporcional,"1 overlap->1, 2 overlaps->2, 3+ overlaps->3.",1594,920,57.7164,793,126,674,49.7491,7.9046,42.2836,86.1957,13.6957,36.7391,62.0652,77.2826,86.1957,667,42.2836,51.0606,85.8333,0.0,51.0606
3,F1,Cancelar overlap>=1,Cancela quando overlap>=1.,1594,274,17.1895,234,39,1320,14.6801,2.4467,82.8105,85.4015,14.2336,33.9416,58.7591,74.8175,85.4015,195,0.0,0.0,0.0,0.0,0.0
